ticker,timestamp,close,daily_return,equity_curve
VNINDEX,2019-01-02 00:00,891.75,,1.0
VNINDEX,2019-01-03 00:00,878.22,-0.015172413793103412,0.9848275862068966
VNINDEX,2019-01-04 00:00,880.9,0.003051627154927017,0.9878329128118868
VNINDEX,2019-01-07 00:00,889.64,0.00992167101827679,0.9976338659938324
VNINDEX,2019-01-08 00:00,887.44,-0.002472910390719729,0.9951668068404824
VNINDEX,2019-01-09 00:00,896.99,0.01076129090417366,1.0058760863470704
VNINDEX,2019-01-10 00:00,898.3,0.0014604399157180925,1.007345107933838
VNINDEX,2019-01-11 00:00,902.71,0.004909273071357134,1.012290440145781
VNINDEX,2019-01-14 00:00,901.8,-0.0010080756832205884,1.0112699747687135
VNINDEX,2019-01-15 00:00,909.68,0.008738079396761966,1.020106532099804
VNINDEX,2019-01-16 00:00,908.7,-0.001077301908363304,1.019007569386039
VNINDEX,2019-01-17 00:00,901.89,-0.00749422251568177,1.011370899915896
VNINDEX,2019-01-18 00:00,902.3,0.0004546008936787693,1.0118306700308384
VNINDEX,2019-01-21 00:00,911.05,0.009697439875872682,1.0216428371180264
VNINDEX,2019-01-22 00:00,906.55,-0.004939355688491354,1.016596579758901
VNINDEX,2019-01-23 00:00,908.02,0.0016215321824499807,1.0182450238295486
VNINDEX,2019-01-24 00:00,908.79,0.0008479989427545576,1.0191084945332212
VNINDEX,2019-01-25 00:00,908.88,9.903277985023884e-05,1.0192094196804038
VNINDEX,2019-01-28 00:00,912.18,0.0036308423554263225,1.0229100084104288
VNINDEX,2019-01-29 00:00,915.93,0.004111030717621533,1.0271152228763665
VNINDEX,2019-01-30 00:00,915.84,-9.826078412100703e-05,1.027014297729184
VNINDEX,2019-01-31 00:00,910.65,-0.005666928721174025,1.021194280908326
VNINDEX,2019-02-01 00:00,908.67,-0.002174271125020555,1.018973927670311
VNINDEX,2019-02-11 00:00,926.1,0.01918188121100073,1.0385197645079898
VNINDEX,2019-02-12 00:00,937.54,0.012352877659000061,1.0513484721054105
VNINDEX,2019-02-13 00:00,945.25,0.008223649124304178,1.0599943930473787
VNINDEX,2019-02-14 00:00,952.34,0.007500661200740666,1.0679450518643119
